"","Name.in.English","Degree.of.endangerment","Latitude","Longitude"
"232","Lae","Extinct",-6.6318,147.181
"233","Aribwatsa","Extinct",-6.6523,147.2291
"234","Mulaha","Extinct",-9.7002,147.4351
"235","Getmata","Extinct",-5.8346,149.0405
"236","Yoba","Extinct",-10.0337,149.2272
"237","Bina","Extinct",-10.2365,149.6063
"238","Arman","Extinct",59.6732,150.1391
"239","Ainu (Kuril)","Extinct",46.8882,152.0068
"240","Dungidjau","Extinct",-26.5885,152.2705
"241","Uruava","Extinct",-5.9821,155.3137
"242","Southern Kamchadal","Extinct",52.6963,156.7089
"243","Dororo","Extinct",-8.2169,157.3901
"244","Guliguli","Extinct",-8.2114,157.4615
"245","Kazukuru","Extinct",-8.1598,157.4629
"246","Laghu","Extinct",-7.6157,158.7359
"247","Eastern Kamchadal","Extinct",56.511,161.0156
"248","Sishee","Extinct",-21.7193,165.6738
"249","Aore","Extinct",-15.5767,167.1638
"250","Maragus","Extinct",-16.0405,167.2778
"251","Ifo","Extinct",-18.6605,169.1434
"252","Kerek","Extinct",62.5996,176.9183
